refdes,methods,streams-uFrame,database,uFrame,comment
CE07SHSM-RID26-06-PHSEND000,recovered_inst,phsen_abcdef_instrument, yes,yes,
CE07SHSM-RID26-07-NUTNRB000,recovered_inst,nutnr_b_dark_instrument_recovered, yes,yes,
CE07SHSM-RID26-07-NUTNRB000,recovered_inst,nutnr_b_instrument_recovered, yes,yes,
CE07SHSM-RID26-08-SPKIRB000,recovered_host,spkir_abj_dcl_instrument_recovered, yes,yes,
CE07SHSM-RID27-01-OPTAAD000,recovered_host,optaa_dj_dcl_instrument_recovered, yes,yes,
CE07SHSM-RID27-02-FLORTD000,recovered_host,flort_sample, yes,yes,
CE07SHSM-RID27-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered, yes,yes,
CE07SHSM-RID27-04-DOSTAD000,recovered_host,dosta_abcdjm_dcl_instrument_recovered, yes,yes,
CE07SHSM-SBD11-04-VELPTA000,recovered_inst,velpt_ab_instrument_recovered, yes,yes,
CE07SHSM-SBD11-06-METBKA000,recovered_host,metbk_a_dcl_instrument_recovered, yes,yes,[u'metbk_hourly']duplicated in uFrame
CE07SHSM-SBD11-06-METBKA000,recovered_host,metbk_hourly, yes,yes,[u'metbk_hourly']duplicated in uFrame
CE07SHSM-SBD12-04-PCO2AA000,recovered_host,pco2a_a_dcl_instrument_air_recovered, yes,yes,
CE07SHSM-SBD12-04-PCO2AA000,recovered_host,pco2a_a_dcl_instrument_water_recovered, yes,yes,
CE07SHSM-SBD12-05-WAVSSA000,recovered_host,wavss_a_dcl_statistics_recovered, yes,yes,
CE07SHSM-SBD12-05-WAVSSA000,recovered_host,wavss_a_dcl_mean_directional_recovered, yes,yes,
CE07SHSM-SBD12-05-WAVSSA000,recovered_host,wavss_a_dcl_fourier_recovered, yes,yes,
